01,食品生鲜,Fresh food
02,服装,Clothing
03,鞋、箱、包,Shoes、 boxes、 bags
04,美妆护肤,Beauty skin care
05,钟表、珠宝,Watches、 jewelry
06,家用电器,Household Electric Appliances
07,休闲娱乐,Recreation & Entertainment
08,百年老字号名优特产品,Famous brand products in centrury years
09,影视,Movies
10,手机、数码、电脑办公,Mobile phones、 digital、 computer office
11,医疗保健,Medical care
12,母婴玩具,Baby toys
13,运动户外,Outdoor sports
14,汽车、汽车用品,Auto、 auto supplies
15,家居、家具、家装、厨具,Home、 furniture、 home improvement、 kitchen
16,图书音像,Books、 Audio & Video Products
17,权益类,Equity class
18,链层代币,Chain tokens
0101,中外名酒,World Famous Alcoholic Drinks
0102,茶叶,Tea
0103,饮料冲调,Beverage punch
0104,粮油调味,Grain seasoning
0105,休闲零食,Leisure snacks
0106,冷饮冻食,Cold drink
0107,新鲜水果,Fresh fruit
0108,蔬菜蛋品,Vegetable egg
0109,海鲜水产,Seafood aquaculture
0110,肉类,Meat
0111, 地方特产,Local specialty
0112,精选干货,Selected drysaltery
0113,进口食品,Imported food
0201,女装,Ladies wear
0202,男装,Men's wear
0203,家居服,Leisure wear
0204,袜类,Socks
0205,运动服,Sport Wear
0206,进口服装,Imported clothing
0301,女鞋,Women's Shoes
0302,男鞋,Men's Shoes
0303,拉杆箱,Draw bar box
0304,男包,Men's bag
0305,女包,Female bag
0306,功能包,Function bag
0401,护肤品,Skin care products
0402,香水彩妆,Perfume makeup
0403,身体护理,Body care
0404,口腔护理,Oral nursing
0405,清洁、护理用品,Cleaning and nursing products
0501,国内表,Domestic watch
0502,国外表,Foreign watch
0503,儿童手表,Children watch
0504,智能手表,Intelligent Watch
0505,闹钟,Alarm clock
0506,座钟挂钟,Clock 
0507,钟表配件,Watch accessories
0508,其他钟表,Other watches
0509,进口钟表,Imported watches
0510,黄金,Gold
0511,K金,K-Gold
0512,时尚饰品,Fashion accessories
0513,钻石,Diamonds
0514,翡翠玉石,Jade
0515,银饰,Silver
